dish_name,ingredients,category,difficulty,cook_minutes
番茄炒蛋,番茄;鸡蛋;葱;盐;糖,家常,easy,15
青椒肉丝,青椒;猪里脊;姜;蒜;酱油;淀粉,家常,medium,25
麻婆豆腐,豆腐;肉末;豆瓣酱;花椒;葱姜蒜,川菜,medium,30
宫保鸡丁,鸡腿肉;花生;干辣椒;葱姜;酱油;醋,川菜,medium,35
红烧肉,五花肉;冰糖;酱油;料酒;八角;葱姜,家常,medium,90
蛋炒饭,隔夜饭;鸡蛋;葱;盐;酱油,家常,easy,10
蒜蓉西兰花,西兰花;蒜;盐;蚝油,素菜,easy,12
酸辣土豆丝,土豆;干辣椒;醋;盐;蒜,家常,easy,20
糖醋排骨,排骨;醋;糖;酱油;料酒;姜,家常,medium,50
凉拌黄瓜,黄瓜;蒜;醋;香油;盐,凉菜,easy,8
鱼香茄子,茄子;肉末;泡椒;葱姜蒜;醋;糖,川菜,medium,35
西红柿鸡蛋面,面条;番茄;鸡蛋;葱;盐,主食,easy,20
可乐鸡翅,鸡翅;可乐;酱油;姜;料酒,家常,easy,40
清蒸鲈鱼,鲈鱼;姜;葱;蒸鱼豉油;料酒,粤菜,medium,25
皮蛋豆腐,内酯豆腐;皮蛋;生抽;香油;葱,凉菜,easy,5
