date,activity_type,duration_min,calories,note
2024-10-01,跑步,35,280,晨跑 5km
2024-10-02,力量,45,220,胸+三头
2024-10-03,游泳,40,320,自由泳
2024-10-04,休息,0,0,休息日
2024-10-05,骑行,60,450,郊外骑行
2024-10-06,跑步,28,224,轻松跑
2024-10-07,力量,50,250,背+二头
2024-10-08,瑜伽,45,120,拉伸
2024-10-09,跑步,40,320,节奏跑
2024-10-10,力量,45,230,腿
2024-10-11,游泳,35,280,蛙泳
2024-10-12,休息,0,0,休息日
2024-10-13,骑行,90,680,长距离
2024-10-14,跑步,30,240,恢复跑
2024-10-15,力量,50,260,胸+肩
2024-10-16,瑜伽,40,100,晨练
2024-10-17,跑步,45,360,半马备赛
2024-10-18,游泳,50,400,混合泳
2024-10-19,休息,0,0,休息日
2024-10-20,骑行,45,340,通勤+绕路
