isbn,title,author,category,publish_year,price,stock
978-7-115-12345-1,Go 语言设计与实现,左书祺,技术,2022,89.00,120
978-7-111-23456-2,深入理解计算机系统,Randal E. Bryant,技术,2016,139.00,45
978-7-121-34567-3,代码整洁之道,Robert C. Martin,技术,2010,69.00,80
978-7-532-45678-4,三体,刘慈欣,科幻,2008,23.00,200
978-7-533-56789-5,活着,余华,文学,2012,20.00,150
978-7-534-67890-6,人类简史,Yuval Noah Harari,历史,2014,68.00,95
978-7-535-78901-7,小王子,圣埃克苏佩里,文学,2015,22.00,300
978-7-536-89012-8,围城,钱钟书,文学,1991,39.00,88
978-7-537-90123-9,Python 编程：从入门到实践,Eric Matthes,技术,2020,89.00,75
978-7-538-01234-0,百年孤独,加西亚·马尔克斯,文学,2011,55.00,60
978-7-539-12345-1,时间简史,Stephen Hawking,科普,2001,45.00,70
978-7-540-23456-2,算法导论,Thomas H. Cormen,技术,2012,128.00,35
978-7-541-34567-3,红楼梦,曹雪芹,文学,2008,59.00,100
978-7-542-45678-4,流浪地球,刘慈欣,科幻,2016,39.00,110
978-7-543-56789-5,原则,Ray Dalio,经管,2018,98.00,55
978-7-544-67890-6,失控,Kevin Kelly,科普,2010,88.00,40
978-7-545-78901-7,白夜行,东野圭吾,推理,2013,45.00,130
978-7-546-89012-8,经济学原理,N. Gregory Mankiw,经管,2015,128.00,42
978-7-547-90123-9,设计数据密集型应用,Martin Kleppmann,技术,2018,119.00,38
978-7-548-01234-0,追风筝的人,Khaled Hosseini,文学,2006,29.00,90
